cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/IPAddressesAddIPAddress.ascx.cs	71
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/HostingPlansQuotas.ascx.cs	57
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/HostingPlansQuotas.ascx.cs	77
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/Default.aspx.cs	633
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebSitesEditSite.ascx.cs	596
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebSitesEditSite.ascx.cs	593
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebSitesEditSite.ascx.cs	703
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebSitesEditSite.ascx.cs	699
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterMail_EditList.ascx.cs	52
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterMail60_EditList.ascx.cs	62
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterMail50_EditList.ascx.cs	54
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterMail100x_EditList.ascx.cs	62
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterMail100_EditList.ascx.cs	62
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/Merak_EditList.ascx.cs	51
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/MailEnable_EditList.ascx.cs	49
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/IceWarp_EditList.ascx.cs	51
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/HyperV2016_Settings.ascx.cs	330
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/HyperV2012R2_Settings.ascx.cs	524
cs/web/cookie-httponly-not-set	cs/web/cookie-httponly-not-set	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/LoggedUserEditDetails.ascx.cs	871
cs/web/debug-binary	cs/web/debug-binary	FuseCP/Sources/FuseCP.WebPortal/bin_dotnet/Web.Net6.config	74
cs/web/file-upload	cs/web/file-upload	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsImportZone.ascx.cs	38
cs/web/requiressl-not-set	cs/web/requiressl-not-set	FuseCP/Sources/FuseCP.WebPortal/Web.config	95
cs/web/requiressl-not-set	cs/web/requiressl-not-set	FuseCP/Sources/FuseCP.WebPortal/Web6.config	64
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	7990
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	3633
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/JavaScript/bootstrap/bootstrap.js	3188
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/JavaScript/codemirror/htaccess.js	138
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/JavaScript/bootstrap/bootstrap.js	2425
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	6584
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	1707
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	1690
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	1610
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/bootstrap/bootstrap.js	3188
js/trivial-conditional	js/trivial-conditional	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/bootstrap/bootstrap.js	2425
js/useless-assignment-in-return	js/useless-assignment-in-return	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	868
js/loop-iteration-skipped-due-to-shifting	js/loop-iteration-skipped-due-to-shifting	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	2484
js/regex/unmatchable-dollar	js/regex/unmatchable-dollar	FuseCP/Sources/FuseCP.WebPortal/JavaScript/codemirror/codemirror.js	5049
js/superfluous-trailing-arguments	js/superfluous-trailing-arguments	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	870
js/superfluous-trailing-arguments	js/superfluous-trailing-arguments	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	868
js/superfluous-trailing-arguments	js/superfluous-trailing-arguments	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	7250
js/unneeded-defensive-code	js/unneeded-defensive-code	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	116
js/unneeded-defensive-code	js/unneeded-defensive-code	FuseCP/Sources/FuseCP.WebPortal/JavaScript/bootstrap/bootstrap.js	3171
js/unneeded-defensive-code	js/unneeded-defensive-code	FuseCP/Sources/FuseCP.WebPortal/JavaScript/bootstrap/bootstrap.js	2697
js/unneeded-defensive-code	js/unneeded-defensive-code	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/bootstrap/bootstrap.js	3171
js/unneeded-defensive-code	js/unneeded-defensive-code	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/bootstrap/bootstrap.js	2697
js/redundant-assignment	js/redundant-assignment	FuseCP/Sources/FuseCP.WebPortal/JavaScript/bootstrap/bootstrap.js	2227
js/redundant-assignment	js/redundant-assignment	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/bootstrap/bootstrap.js	2227
js/comparison-between-incompatible-types	js/comparison-between-incompatible-types	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	6653
js/useless-expression	js/useless-expression	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/useless-expression	js/useless-expression	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/useless-expression	js/useless-expression	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/unused-local-variable	js/unused-local-variable	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	7922
js/unused-local-variable	js/unused-local-variable	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	5052
js/unused-local-variable	js/unused-local-variable	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	982
js/use-before-declaration	js/use-before-declaration	FuseCP/Sources/FuseCP.WebPortal/JavaScript/codemirror/codemirror.js	1801
js/useless-assignment-to-property	js/useless-assignment-to-property	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	5146
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/scratch/inline/theme.raw.js	1639
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/scratch/inline/theme.js	1639
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/src/main/js/tinymce/inlite/Theme.js	105
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/scratch/compile/theme.js	1551
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	10570
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/JavaScript/codemirror/codemirror.js	5263
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	868
js/useless-assignment-to-local	js/useless-assignment-to-local	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	868
js/regex/missing-regexp-anchor	js/regex/missing-regexp-anchor	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/src/main/js/tinymce/inlite/core/UrlType.js	14
js/regex/missing-regexp-anchor	js/regex/missing-regexp-anchor	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/scratch/inline/theme.raw.js	598
js/regex/missing-regexp-anchor	js/regex/missing-regexp-anchor	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/scratch/inline/theme.js	598
js/regex/missing-regexp-anchor	js/regex/missing-regexp-anchor	FuseCP/Sources/FuseCP.WebPortal/tinymce/themes/inlite/scratch/compile/theme.js	510
js/unsafe-html-expansion	js/unsafe-html-expansion	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	5243
js/unsafe-html-expansion	js/unsafe-html-expansion	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery/jquery-2.1.0.js	5042
js/incomplete-sanitization	js/incomplete-sanitization	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	11695
js/incomplete-sanitization	js/incomplete-sanitization	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	6326
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	869
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	867
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	799
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	4878
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	569
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/fcp-common.js	556
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	2129
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	2116
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	2082
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	1937
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	1515
js/xss-through-dom	js/xss-through-dom	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	58
js/unsafe-jquery-plugin	js/unsafe-jquery-plugin	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	7704
js/unsafe-jquery-plugin	js/unsafe-jquery-plugin	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	1102
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/js/jquery-ui/jquery-ui-1.10.4.custom.js	6873
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	831
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	831
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	831
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	831
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	831
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	829
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	829
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	829
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	829
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	829
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	617
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	603
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	586
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	586
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	486
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	485
js/html-constructed-from-input	js/html-constructed-from-input	FuseCP/Sources/FuseCP.WebPortal/JavaScript/jquery.window.js	426
